#string_taxon_id	cluster_id	cluster_size	best_described_by
9606	CL:39184	7	mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2
9606	CL:39182	13	mostly uncharacterized, incl. Protein FAM81, and Bacterial Ig-like domain 2
9606	CL:39156	26	mostly uncharacterized, incl. Mesothelin, and Protein FAM81
9606	CL:34	19587	Cellular_component
9606	CL:30	19592	Cellular_component
9606	CL:25	19597	Cellular_component
9606	CL:20	19602	Cellular_component
9606	CL:15	19607	Cellular_component
9606	CL:10	19612	Cellular_component
9606	CL:5	19617	Cellular_component
9606	CL:0	19622	Cellular_component
9606	CL:39173	5	mixed, incl. Coiled-coil domain-containing protein 89-like, and RFX-like DNA-binding protein
9606	CL:39157	13	mostly uncharacterized, incl. Mesothelin, and Coiled-coil domain-containing protein 89-like
9606	CL:39158	8	mixed, incl. Mesothelin, and Beta oxidation of butanoyl-CoA to acetyl-CoA
9606	CL:39142	7	mixed, incl. NF-kappa-B-activating protein, and Olfactory receptor
9606	CL:39006	75	Cadherin, N-terminal, and Domain of unknown function (DUF4596)
9606	CL:38472	342	Detection of chemical stimulus involved in sensory perception, and Cadherin, N-terminal
9606	CL:35	19561	Cellular_component
9606	CL:39124	8	Cadherin, C-terminal catenin-binding domain, and Domain of unknown function (DUF4596)
9606	CL:39102	19	Cadherin, C-terminal catenin-binding domain
9606	CL:39007	68	Cadherin, N-terminal, and Domain of unknown function (DUF4596)
9606	CL:39106	6	Cadherin, C-terminal catenin-binding domain
9606	CL:39103	11	Cadherin, C-terminal catenin-binding domain
9606	CL:39075	5	Cadherin, C-terminal catenin-binding domain
9606	CL:39063	11	Cadherin, C-terminal catenin-binding domain
9606	CL:39061	18	Cadherin, C-terminal catenin-binding domain
9606	CL:39008	47	Cadherin, N-terminal, and Autosomal recessive nonsyndromic deafness 93
9606	CL:39064	6	Cadherin, C-terminal catenin-binding domain
9606	CL:39046	6	Expression and translocation of olfactory receptors
9606	CL:39009	26	mixed, incl. Cadherin, cytoplasmic C-terminal domain, and POM121 family
9606	CL:39032	5	Cadherin-like, and Cadherin, cytoplasmic C-terminal domain
9606	CL:39012	15	Cadherin-like, and Cadherin, cytoplasmic C-terminal domain
9606	CL:39015	6	Cadherin-like, and Cadherin, cytoplasmic C-terminal domain
9606	CL:38997	5	D-Tyr-tRNA(Tyr) deacylase, and Complement receptor activity
9606	CL:38985	11	mixed, incl. D-Tyr-tRNA(Tyr) deacylase, and C2 calcium-dependent domain-containing protein 4C/4D
9606	CL:38473	267	Detection of chemical stimulus involved in sensory perception, and Trace-amine receptor activity
9606	CL:38986	6	mixed, incl. C2 calcium-dependent domain-containing protein 4C/4D, and GRB2-associated-binding protein 1-4-like
9606	CL:38971	5	mixed, incl. Hormone receptor domain, and Serotonin receptor activity
9606	CL:38920	33	mostly uncharacterized, incl. Hypoparathyroidism-retardation-dysmorphism syndrome, and Serotonin receptor activity
9606	CL:38474	256	Detection of chemical stimulus involved in sensory perception, and Trace-amine receptor activity
9606	CL:38926	7	mixed, incl. Rad52 family, and Protein FAM221A/B
9606	CL:38924	13	mostly uncharacterized, incl. Rad52 family, and Protein FAM221A/B
9606	CL:38922	21	mostly uncharacterized, incl. Hypoparathyroidism-retardation-dysmorphism syndrome, and Rad52 family
9606	CL:38902	8	mixed, incl. Uncharacterized protein C11orf98, and FAM75 family
9606	CL:38834	42	mixed, incl. Odorant binding, and Olfactory receptor subfamily 6C-like
9606	CL:38475	223	Detection of chemical stimulus involved in sensory perception, and Trace-amine receptor activity
9606	CL:38891	6	mixed, incl. Dissociative disorder, and Central nervous system primitive neuroectodermal neoplasm
9606	CL:38835	34	mixed, incl. Olfactory receptor subfamily 6C-like, and Odorant binding
