protein1 protein2 combined_score
9606.ENSP00000000233 9606.ENSP00000356607 173
9606.ENSP00000000233 9606.ENSP00000427567 154
9606.ENSP00000000233 9606.ENSP00000253413 151
9606.ENSP00000000233 9606.ENSP00000493357 471
9606.ENSP00000000233 9606.ENSP00000324127 201
9606.ENSP00000000233 9606.ENSP00000325266 180
9606.ENSP00000000233 9606.ENSP00000320935 181
9606.ENSP00000000233 9606.ENSP00000371175 594
9606.ENSP00000000233 9606.ENSP00000480364 154
9606.ENSP00000000233 9606.ENSP00000388107 161
9606.ENSP00000000233 9606.ENSP00000461784 303
9606.ENSP00000000233 9606.ENSP00000381097 168
9606.ENSP00000000233 9606.ENSP00000234160 217
9606.ENSP00000000233 9606.ENSP00000241502 155
9606.ENSP00000000233 9606.ENSP00000317272 347
9606.ENSP00000000233 9606.ENSP00000487719 197
9606.ENSP00000000233 9606.ENSP00000354878 513
9606.ENSP00000000233 9606.ENSP00000479606 322
9606.ENSP00000000233 9606.ENSP00000369127 206
9606.ENSP00000000233 9606.ENSP00000493946 227
9606.ENSP00000000233 9606.ENSP00000383023 153
9606.ENSP00000000233 9606.ENSP00000266126 160
9606.ENSP00000000233 9606.ENSP00000262027 164
9606.ENSP00000000233 9606.ENSP00000271526 163
9606.ENSP00000000233 9606.ENSP00000364898 174
9606.ENSP00000000233 9606.ENSP00000325074 201
9606.ENSP00000000233 9606.ENSP00000310226 648
9606.ENSP00000000233 9606.ENSP00000006275 154
9606.ENSP00000000233 9606.ENSP00000369965 206
9606.ENSP00000000233 9606.ENSP00000258098 501
9606.ENSP00000000233 9606.ENSP00000265462 286
9606.ENSP00000000233 9606.ENSP00000347464 325
9606.ENSP00000000233 9606.ENSP00000330842 166
9606.ENSP00000000233 9606.ENSP00000358723 164
9606.ENSP00000000233 9606.ENSP00000363232 533
9606.ENSP00000000233 9606.ENSP00000498386 228
9606.ENSP00000000233 9606.ENSP00000225655 201
9606.ENSP00000000233 9606.ENSP00000351926 170
9606.ENSP00000000233 9606.ENSP00000447300 210
9606.ENSP00000000233 9606.ENSP00000264335 204
9606.ENSP00000000233 9606.ENSP00000482829 150
9606.ENSP00000000233 9606.ENSP00000387549 224
9606.ENSP00000000233 9606.ENSP00000386857 178
9606.ENSP00000000233 9606.ENSP00000271889 172
9606.ENSP00000000233 9606.ENSP00000377769 217
9606.ENSP00000000233 9606.ENSP00000489407 322
